# NJOY2016 0 K U-235 ESZ at grid energies this port also chose.
# Oracle for tests/acer_ce_esz_vs_njoy2016.rs. Columns are MeV and barns.
# 17 significant digits: f64 needs that to round-trip exactly, and the test
# matches grid energies by EXACT equality.
energy_mev,total_b,absorption_b,elastic_b
4.95245300000000054e-4,2.89899127999999990e1,4.08106795000000044e0,9.01972300000000082e0
4.95737899999999982e-4,7.70399438000000032e1,1.01444118999999997e1,1.15123499999999996e1
4.97510000000000053e-4,1.77276278000000005e1,1.34714894000000007e0,1.08556500000000007e1
5.00000000000000010e-4,4.33041547999999992e1,3.23896394000000010e0,8.54665900000000001e0
5.02053799999999974e-4,7.65807807999999994e1,9.59582892999999970e0,1.19277099999999994e1
5.02880799999999985e-4,6.60422887999999944e1,1.27119719000000000e1,9.16840499999999992e0
5.02952599999999966e-4,7.61559438000000029e1,1.22397919000000002e1,1.11946999999999992e1
5.03050299999999997e-4,7.13422037999999930e1,2.23227718999999993e1,1.42668199999999992e1
5.05026400000000027e-4,3.23056237999999993e1,9.38677193000000010e0,1.00432299999999994e1
5.06062999999999956e-4,5.14677038000000024e1,8.22373192999999958e0,1.24583300000000001e1
5.07262299999999963e-4,1.48883928000000001e1,2.91292691999999986e0,9.67820500000000017e0
5.07724899999999961e-4,5.21598048000000034e1,6.23000391999999970e0,9.25967900000000022e0
5.09769100000000011e-4,4.91190228000000033e1,1.10423218999999992e1,9.97766900000000057e0
5.10232000000000003e-4,8.87957337999999936e1,1.47690619000000005e1,1.13849699999999991e1
5.11100400000000037e-4,8.82752437999999984e1,3.62598119000000025e1,8.05982999999999983e0
5.12842499999999961e-4,1.04675144000000003e2,1.80168819000000013e1,1.36873600000000000e1
5.15766299999999961e-4,2.95646768000000009e1,8.57681091000000073e0,1.20578199999999995e1
5.16307600000000017e-4,2.20618498000000010e1,5.46483090999999988e0,1.20649300000000004e1
5.16735799999999993e-4,2.31574327999999987e1,6.92945791000000000e0,1.16402999999999999e1
5.16832600000000043e-4,1.73448378000000005e1,1.17590090999999997e0,1.15877700000000008e1
5.18003699999999975e-4,1.66358756999999997e1,1.11965990999999998e0,1.04262300000000003e1
5.20540799999999948e-4,1.01093614000000002e2,3.23997419000000022e1,1.55453600000000005e1
5.20777000000000045e-4,2.91334707000000002e1,4.16542890000000021e0,1.46680100000000007e1
5.22759000000000027e-4,1.95219577000000015e1,1.41045989999999999e0,1.03683300000000003e1
5.24436999999999993e-4,5.30634904000000006e2,2.38796301999999997e2,1.06735299999999995e2
5.25997399999999973e-4,1.55925116999999993e1,3.23607188999999984e0,1.09549299999999992e1
5.26312099999999951e-4,1.33226730000000000e1,2.02969688999999986e0,1.03352799999999991e1
5.26688899999999964e-4,2.10829866999999993e1,4.93110188999999988e0,9.41992499999999922e0
5.26710299999999998e-4,2.32603037000000015e1,6.40787489000000043e0,9.74280500000000060e0
5.27872699999999999e-4,8.95957537000000031e1,3.37846119000000016e1,2.42846399999999996e1
5.28631400000000029e-4,1.22105314000000007e2,7.07948219000000023e1,1.54537999999999993e1
5.30123999999999982e-4,5.55155807000000010e1,4.30864888999999973e0,1.15079999999999991e1
5.31537899999999985e-4,1.23177773999999999e2,6.66975419000000045e1,1.59365199999999998e1
5.32721800000000053e-4,2.68088097000000012e1,1.06836918999999995e1,1.17786200000000001e1
5.34489699999999993e-4,1.28070954000000000e2,5.28696018999999993e1,1.71855399999999996e1
5.38855500000000038e-4,4.84576716999999988e1,2.76168319000000011e1,1.19324499999999993e1
5.39942599999999949e-4,5.32069146999999987e1,8.08318286999999991e0,1.18832799999999992e1
5.46240099999999954e-4,3.23817753999999979e2,1.04745301999999995e2,4.73905499999999975e1
5.47388100000000032e-4,3.82968077000000022e1,1.60638019000000014e1,1.34303600000000003e1
5.47489099999999996e-4,2.54598426999999994e1,7.02937186000000036e0,1.35423399999999994e1
5.48309399999999999e-4,4.05718736999999976e1,1.33980119000000002e1,1.34691200000000002e1
5.48970500000000032e-4,2.40950006999999999e1,7.46373385999999961e0,1.14960400000000007e1
5.49000499999999962e-4,2.41098776999999984e1,6.75890486000000035e0,1.21638999999999999e1
