step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
1330,-0.0047168847842567058,0.00064767318948165604,0,0.52199615757558637,0.33417001263903151,0,0,0,-108.56756357538707,0.0047168847842567058,-0.00064767318948165604,0,-0.52199615757558637,-0.33417001263903151,0,0,0,-108.56756357538707
1340,-0.0047118258004459571,0.00065097160995505746,0,0.48967476109549896,0.32556680757686174,0,0,0,-114.72215487057628,0.0047118258004459571,-0.00065097160995505746,0,-0.48967476109549896,-0.32556680757686174,0,0,0,-114.72215487057628
1350,-0.0047070936260404468,0.00065418566129791915,0,0.45664527704754371,0.31730769979575474,0,0,0,-120.76721562538674,0.0047070936260404468,-0.00065418566129791915,0,-0.45664527704754371,-0.31730769979575474,0,0,0,-120.76721562538674
1360,-0.0047026950139343647,0.00065731912072523261,0,0.42297374801159093,0.30945967110122452,0,0,0,-126.66768155656072,0.0047026950139343647,-0.00065731912072523261,0,-0.42297374801159093,-0.30945967110122452,0,0,0,-126.66768155656072
1370,-0.0046986360439943671,0.00066037642642570676,0,0.38872868252308318,0.30208783164419922,0,0,0,-132.38919675706364,0.0046986360439943671,-0.00066037642642570676,0,-0.38872868252308318,-0.30208783164419922,0,0,0,-132.38919675706364
1380,-0.0046949221000169459,0.00066336265584793328,0,0.35398072999569008,0.29525482334419129,0,0,0,-137.89840075757655,0.0046949221000169459,-0.00066336265584793328,0,-0.35398072999569008,-0.29525482334419129,0,0,0,-137.89840075757655
1390,-0.0046915578499825859,0.00066628349811580505,0,0.318802346831421,0.28902024337079213,0,0,0,-143.16320655554546,0.0046915578499825859,-0.00066628349811580505,0,-0.318802346831421,-0.28902024337079213,0,0,0,-143.16320655554546
1400,-0.004688547229683252,0.00066914522080443973,0,0.28326745604325998,0.2834400937802235,0,0,0,-148.15306691047311,0.004688547229683252,-0.00066914522080443973,0,-0.28326745604325998,-0.2834400937802235,0,0,0,-148.15306691047311
1410,-0.0046858934297763126,0.0006719546313676127,0,0.247451102748241,0.27856626314737282,0,0,0,-152.83922632316214,0.0046858934297763126,-0.0006719546313676127,0,-0.247451102748241,-0.27856626314737282,0,0,0,-152.83922632316214
1420,-0.0046835988862943814,0.00067471903356450139,0,0.21142910788791466,0.27444604570013004,0,0,0,-157.19495626693742,0.0046835988862943814,-0.00067471903356450139,0,-0.21142910788791466,-0.27444604570013004,0,0,0,-157.19495626693742
1430,-0.0046816652746171517,0.00067744617928664451,0,0.17527772250038756,0.27112170305689498,0,0,0,-161.1957714181458,0.0046816652746171517,-0.00067744617928664451,0,-0.17527772250038756,-0.27112170305689498,0,0,0,-161.1957714181458
1440,-0.0046800935068883418,0.00068014421623471854,0,0.13907328480607742,0.26863007319568066,0,0,0,-164.81962483882759,0.0046800935068883418,-0.00068014421623471854,0,-0.13907328480607742,-0.26863007319568066,0,0,0,-164.81962483882759
1450,-0.0046788837328386318,0.00068282163193840179,0,0.10289188228101961,0.2670022307509603,0,0,0,-168.04708029353031,0.0046788837328386318,-0.00068282163193840179,0,-0.10289188228101961,-0.2670022307509603,0,0,0,-168.04708029353031
1460,-0.00467803534395433,0.00068548719465068059,0,0.066809020780275882,0.26626320214968424,0,0,0,-170.86146013172279,0.00467803534395433,-0.00068548719465068059,0,-0.066809020780275882,-0.26626320214968424,0,0,0,-170.86146013172279
1470,-0.0046775469809114721,0.00068814989167994927,0,0.030899302643273528,0.26643173846879525,0,0,0,-173.24896743392745,0.0046775469809114721,-0.00068814989167994927,0,-0.030899302643273528,-0.26643173846879525,0,0,0,-173.24896743392745
1480,-0.0046774165441764819,0.00069081886574878695,0,-0.004763884433628047,0.26752014823171771,0,0,0,-175.19878140013543,0.0046774165441764819,-0.00069081886574878695,0,0.004763884433628047,-0.26752014823171771,0,0,0,-175.19878140013543
